,name,lat,lon,type2,type,power_kW,duration,status,usecase,city,state
326,TAS Texas Cooperative,33.218512,-98.15956130000001,Chilled Water Thermal Storage,Thermal Storage,90000,12,Operational,Electric Energy Time Shift,Jacksboro,TX
327,Crescent Dunes Solar Energy Project,38.237766,-117.382814,Molten Salt Thermal Storage,Thermal Storage,110000,10,Operational,Renewables Capacity Firming,Tonopah,NV
328,Barclay Tower,40.71232020000001,-74.0088229,Lead-acid Battery,Electro-chemical,225,8.83,Operational,Electric Bill Management,New York,NY
329,InterContinental Hotels Group Stem Energy Optimization System,37.781803700000005,-122.4047743,Lithium-ion Battery,Electro-chemical,15,1,Operational,Electric Bill Management,San Francisco,CA
330,UEP CCNY Demonstration,40.8195475,-73.9495176,Flow Battery,Electro-chemical,100,2,Operational,Electric Bill Management,New York,NY
331,PG&E Yerba Buena Battery Energy Storage Pilot Project,37.304269,-121.754479,Sodium based Battery,Electro-chemical,4000,7,Operational,Electric Energy Time Shift,San Jose,CA
332,Peak Shaving Battery at BMW Technology,37.425832,-122.097974,Lithium-ion Battery,Electro-chemical,100,2.33,Operational,Demand Response,Mountain View,CA
333,CLPCCD - Utility Infrastructure Project,37.639612799999995,-122.1026487,Ice Thermal Storage,Thermal Storage,890,4.67,Operational,Electric Bill Management,Hayward,CA
334,AES Tait Battery Array,39.7256182,-84.2113632,Lithium-ion Battery,Electro-chemical,20000,n/a,Operational,Frequency Regulation,Moraine,OH
335,Japan-US Collaborative Smart Grid Project,35.878314700000004,-106.3185697,Sodium based Battery,Electro-chemical,1000,6,Operational,Distribution upgrade due to solar,Los Alamos,NM
336,NEDO New Mexico Smart Grid Demonstration Project,35.888079600000005,-106.3069722,Lead-acid Battery,Electro-chemical,800,1,Operational,Renewables Capacity Firming,Los Alamos,NM
337,SkyGrid Energy,20.2388832,-155.8050118,Lithium-ion Battery,Electro-chemical,100,0.25,Operational,On-Site Power,North Kohala,HI
338,AEP Ohio gridSMART Demonstration Project,39.965144,-83.005961,Lithium-ion Battery,Electro-chemical,100,1,Operational,Electric Energy Time Shift,Columbus,OH
339,Long Island Power Authority Long Island Smart Energy Corridor,40.72330039999999,-73.5935824,Lead-acid Battery,Electro-chemical,8,n/a,Operational,Electric Energy Time Shift,Uniondale,NY
340,ConEdison Interoperability of Demand Response Resources: Thermal,40.7138275,-74.0131657,Ice Thermal Storage,Thermal Storage,1000,10,Operational,Electric Bill Management,New York,NY
341,Pecan Street Project Inc. Energy Internet Demonstration,30.395297600000003,-97.7352087,Lithium-ion Battery,Electro-chemical,15,2.5,Operational,Electric Energy Time Shift,Austin,TX
342,Green Charge Networks Lithium Ion Distributed Energy Storage System at 7-Eleven,40.744869,-73.776886,Lithium-ion Battery,Electro-chemical,100,1,Operational,Electric Bill Management,Queens,NY
343,San Diego Zoo Solar-to-EV Project,32.7360673,-117.1492696,Lithium-ion Battery,Electro-chemical,100,1,Operational,Grid-Connected Residential (Reliability),San Diego,CA
344,PDE Smart Microgrid System,33.979751,-118.14469299999999,Lithium-ion Battery,Electro-chemical,90,0.33,Operational,Electric Bill Management with Renewables,Commerce,CA
345,SCPPA Thermal Energy Storage Program ,34.117787899999996,-117.82261629999999,Ice Thermal Storage,Thermal Storage,2427,6,Operational,Electric Energy Time Shift,Glendora,CA
346,DOD Marine Corps Air Station Miramar Microgrid Energy Storage System,32.8701459,-117.1441227,Flow Battery,Electro-chemical,250,4,Operational,Black Start,San Diego,CA
347,Grid on Wheels,39.6777096,-75.7542004,Lithium-ion Battery,Electro-chemical,360,2.5,Operational,Electric Supply Reserve Capacity - Spinning,Newark,DE
348,1500 Walnut,39.948958000000005,-75.16644699999999,Ice Thermal Storage,Thermal Storage,210,6,Operational,Electric Bill Management,Philadelphia,PA
349,AllCell Chicago EV Charging Station,42.0450722,-87.6876969,Lithium-ion Battery,Electro-chemical,40,n/a,Operational,On-Site Power,Evanston,IL
350,Rice Solar Energy Project,34.072967999999996,-114.813884,Molten Salt Thermal Storage,Thermal Storage,150000,8,Operational,Renewables Capacity Firming,Rice,CA
351,Nevada Solar One Solar Power Plant,35.800171999999996,-114.98125900000001,Thermal Storage,Thermal Storage,72000,0.5,Operational,Renewables Capacity Firming,Boulder City,NV
352,Fort Hunter Liggett Battery Storage Project,36.0079494,-121.235173,Lithium-ion Battery,Electro-chemical,1000,1,Operational,Onsite Renewable Generation Shifting,Fort Hunter Liggett,CA
353,Pennsylvania ATLAS (Aggregated Transactive Load Asset),40.9995386,-75.1812913,Heat Thermal Storage,Thermal Storage,2010,5,Operational,Frequency Regulation,East Stroudsburg,PA
354,VCharge Concord Pilot,42.4603719,-71.34894840000001,Heat Thermal Storage,Thermal Storage,175,5,Operational,Frequency Regulation,Concord,MA
355,VCharge Maine ATLAS (Aggregated Transactive Load Asset),43.661471,-70.2553259,Heat Thermal Storage,Thermal Storage,300,5,Operational,Frequency Regulation,Portland,ME
356,Wright-Hennepin Solar Community,45.0880899,-93.7201203,Lead-acid Battery,Electro-chemical,37,2,Operational,Electric Bill Management,Rockford,MN
357,Austin Utilities Energy Storage Pilot,43.6691809,-92.9697639,Lead-acid Battery,Electro-chemical,37,2,Operational,Electric Bill Management,Austin,MN
358,Shakopee Public Utilities- Environmental Learning Center,44.79739620000001,-93.5272861,Lead-acid Battery,Electro-chemical,9,2,Operational,Renewables Capacity Firming,Shakopee,MN
359,Green Mountain Power Ice Energy Project 1 ,43.6076674,-72.9803603,Ice Thermal Storage,Thermal Storage,45,4.67,Operational,Electric Bill Management,Rutland,VT
360,LA Metro Wayside Flywheel Energy Storage System,34.05637,-118.274883,Flywheel,Electro-mechanical,2000,n/a,Operational,Transportation Services,Los Angeles,CA
361,Schooner America 2.0 Electric Populsion,40.7481266,-74.00831509999999,Lithium-ion Battery,Electro-chemical,250,2.5,Operational,On-Site Power,New York,NY
362,Carthage Water & Electric Plant,37.1620004,-94.31885129999999,Lead-acid Battery,Electro-chemical,100,2.27,Operational,Distribution upgrade due to solar,Carthage,MO
363,NRECA/CRN - Distributed Energy Storage Research Project (Federated),43.6346107,-94.9952283,Lead-acid Battery,Electro-chemical,5,2,Operational,Electric Energy Time Shift,Jackson ,MN
364,Duke Energy- Residential,35.053549600000004,-80.8211696,Lithium-ion Battery,Electro-chemical,6,1.83,Operational,Grid-Connected Residential (Reliability),Charlotte,NC
365,NRECA/CRN - Distributed Energy Storage Research Project (Meeker),45.138570200000004,-94.52894549999999,Lead-acid Battery,Electro-chemical,5,2,Operational,Electric Energy Time Shift,Litchfield,MN
366,NRECA/CRN: Distributed Energy Storage Research Project (Minnesota Valley Electric),44.6671365,-93.6133863,Lead-acid Battery,Electro-chemical,32,2,Operational,Electric Energy Time Shift,Jordan,MN
367,NRECA/CRN - Distributed Energy Storage Research Project (Wright-Hennepin),45.092723299999996,-93.7465301,Lead-acid Battery,Electro-chemical,64,2,Operational,Electric Energy Time Shift,Rockford,MN
368,Holaniku at Keahole Point,19.726761800000002,-156.06186019999998,Heat Thermal Storage,Thermal Storage,2000,2,Operational,Renewables Capacity Firming,Keahole Point,HI
369,Nevada Energy Battery Storage Project (Villa Trieste),36.144997,-115.228407,Lithium-ion Battery,Electro-chemical,5,2,Operational,Electric Energy Time Shift,Las Vegas,NV
370,Discovery Science Center Durathon Battery,33.77025379999999,-117.86786409999998,Sodium based Battery,Electro-chemical,100,5,Operational,Electric Bill Management,Santa Ana,CA
371,Arista Durathon Battery Project,43.191445,-77.66086899999999,Sodium based Battery,Electro-chemical,100,2,Operational,Electric Bill Management,Rochester,NY
372,29 Palms Durathon Battery Project,33.8302961,-116.54529209999998,Sodium based Battery,Electro-chemical,500,2,Operational,Black Start,Palm Springs,CA
373,Hiwassee Dam,35.1134803,-84.05902900000001,Open-loop Pumped Hydro Storage,Pumped Hydro Storage,185000,n/a,Operational,Electric Energy Time Shift,Cherokee County,NC
374,Nevada Solar One R&D Project,35.800171999999996,-114.98125900000001,Heat Thermal Storage,Thermal Storage,100,1,Operational,Renewables Capacity Firming,Boulder City,NV
375,PV and EV Charging Systems at Sporting Venue ,33.4483771,-112.07403729999999,Flow Battery,Electro-chemical,25,2,Operational,Onsite Renewable Generation Shifting,Phoenix,AZ
376,Joint Base Pearl Harbor Hickam (JBPHH) U.S. Military Base,21.3069444,-157.8583333,Flow Battery,Electro-chemical,125,3.33,Operational,Black Start,Honolulu ,HI
377,VISA (Data Processing Center),39.0437567,-77.4874416,Flow Battery,Electro-chemical,25,2,Operational,On-Site Power,Ashburn,VA
378,Clean Energy Storage: Advanced Energy Storage Research & Innovation Center,47.5877433,-122.24134640000001,Lithium-ion Battery,Electro-chemical,30,12,Operational,Onsite Renewable Generation Shifting,Renton,WA
379,Green Charge Networks (Yonkers Site 1),40.95984,-73.8801301,Lithium-ion Battery,Electro-chemical,96,1,Operational,Electric Bill Management,Yonkers,NY
380,Carlsbad 7-Eleven Green Charge Networks Greenstation,33.121631,-117.318757,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Carlsbad,CA
381,Green Charge Networks Greenstation (Norwalk Site 1),33.9165615,-118.0885033,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Norwalk,CA
382,Green Charge Networks Greenstation (San Diego Site 1),32.816842,-117.155162,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,San Diego,CA
383,Green Charge Networks Greenstation (San Diego Site 2),32.805856899999995,-117.218589,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,San Diego,CA
384,CSU Fullerton Green Charge Networks Greenstation,33.8800938,-117.8854977,Lithium-ion Battery,Electro-chemical,480,1,Operational,Electric Bill Management with Renewables,Fullerton,CA
385,Lancaster MOAH Green Charge Networks Greenstation,34.69818239999999,-118.14185800000001,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Lancaster,CA
386,Green Charge Networks Greenstation (Playa Vista Site 1),33.97448060000001,-118.41777069999999,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Playa Vista,CA
387,Green Charge Networks Greenstation (Aliso Viejo Site 1),33.5670813,-117.7272567,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management with Renewables,Aliso Viejo,CA
388,Redwood City Parking Garage Green Charge Networks Greenstation,37.487550399999996,-122.2272435,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Redwood City,CA
389,Redwood City Public Library Green Charge Networks Greenstation,37.5303628,-122.2578679,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Redwood City,CA
390,Alcatraz Island Microgrid ,37.826977500000005,-122.4229555,Lead-acid Battery,Electro-chemical,400,4.75,Operational,Electric Supply Reserve Capacity - Non-Spinning,San Francisco,CA
391,Xcel SolarTAC CES Test,39.755625,-104.62003399999999,Sodium based Battery,Electro-chemical,25,2,Operational,Grid-Connected Residential (Reliability),Watkins,CO
392,SMUD Solar EV Charge Port,38.553074,-121.434074,Sodium based Battery,Electro-chemical,50,2.6,Operational,Electric Bill Management with Renewables,Sacramento,CA
393,Ice Energy project at 729 North Dalton Ave.,34.1340989,-117.9049371,Ice Thermal Storage,Thermal Storage,40,6,Operational,Electric Supply Capacity,Azusa,CA
394,Ice Energy project at 901 E Alosta Ave,34.129193900000004,-117.88902420000001,Ice Thermal Storage,Thermal Storage,120,6,Operational,Electric Supply Capacity,Azusa,CA
395,Ice Energy project at 701 E. Foothill Blvd,34.1349915,-117.8948003,Ice Thermal Storage,Thermal Storage,120,6,Operational,Electric Supply Capacity,Azusa,CA
396,Ice Energy project at 164 W. Magnolia,34.1780047,-118.31675829999999,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Burbank,CA
397,Ice Energy project at 1028 Central St.,42.064180799999995,-87.6855735,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Evanston,IL
398,Ice Energy project at 10661 Business Dr.,34.059657,-117.508592,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Fontana,CA
399,Ice Energy project at 33317 Santiago Road,34.4600722,-118.2292712,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Lancaster,CA
400,Ice Energy project at 1228 West Ave I,34.703565999999995,-118.152064,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Lancaster,CA
401,Ice Energy project at 20th Street West,34.71050820000001,-118.16599140000001,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Lancaster,CA
402,Ice Energy project at 27140 Eucalyptus Ave Suite A,33.9366088,-117.18748000000001,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Moreno Valley,CA
403,Ice Energy project at 27130 Eucalyptus Ave Ste D,33.9362028,-117.1871983,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Moreno Valley,CA
404,Ice Energy project at 27110 Eucalyptus Ave ste E,33.9361214,-117.18829790000001,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Moreno Valley,CA
405,Ice Energy project at 27120 Eucalyptus Ave Ste B,33.9357329,-117.1879238,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Moreno Valley,CA
406,Ice Energy project at 27200 Eucalyptus Ave,33.9381306,-117.1876847,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Moreno Valley,CA
407,Ice Energy project at 1200 W Ogden Ave,41.7818646,-88.1751855,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Naperville,IL
408,Ice Energy project at 348 Boston Post Road,41.26271,-73.00635059999999,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Orange,CT
409,Ice Energy project at 385 Boston Post Road,41.260849,-73.00876509999999,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Orange,CT
410,Ice Energy project at 7211 S. 16TH ST,33.3807809,-112.0473013,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Phoenix,AZ
411,Ice Energy project at 2143 Hilltop Dr ,40.576710999999996,-122.357228,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Redding,CA
412,Ice Energy project at 2155 Hilltop Dr Ste A,40.5764465,-122.35740190000001,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Redding,CA
413,Ice Energy project at 2131 Hilltop Dr ,40.576902000000004,-122.3578919,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Supply Capacity,Redding,CA
414,Ice Energy project at 1894 Churn Creek Rd ,40.5790762,-122.3540199,Ice Thermal Storage,Thermal Storage,120,6,Operational,Electric Supply Capacity,Redding,CA
415,Ice Energy project at 950 Twin View Blvd,40.6208069,-122.37028810000001,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Redding,CA
416,Ice Energy project at 2010 Churn Creek Rd ,40.5779303,-122.3542463,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Redding,CA
417,Ice Energy project at 100 Lake Blvd ,40.610057,-122.38021200000001,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Redding,CA
418,Ice Energy project at 280 Hartnell Ave ,40.565095299999996,-122.3683135,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Supply Capacity,Redding,CA
419,Ice Energy project at 2680 Radio Ln ,40.547908299999996,-122.37978500000001,Ice Thermal Storage,Thermal Storage,170,6,Operational,Electric Supply Capacity,Redding,CA
420,Ice Energy Project at 1540 Charles Dr Ste B,40.630611,-122.37544199999999,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Bill Management,Redding,CA
421,The Old Pine St Schoolhouse (Cheesecakes Unlimited Restaurant) - Ice Energy,40.5885906,-122.3902193,Ice Thermal Storage,Thermal Storage,40,6,Operational,Electric Bill Management,Redding,CA
422,Redding Furniture and Mattress - Ice Energy,40.608546399999994,-122.37813159999999,Ice Thermal Storage,Thermal Storage,40,6,Operational,Electric Bill Management,Redding,CA
423,Redding Subaru - Ice Energy,40.5706464,-122.3637787,Ice Thermal Storage,Thermal Storage,30,6,Operational,Electric Bill Management,Redding,CA
424,Valley Ace Hardware - Ice Energy,40.564228,-122.346195,Ice Thermal Storage,Thermal Storage,30,6,Operational,Electric Bill Management,Redding,CA
425,Mountain View Medical Group - Ice Energy,40.580039899999996,-122.39086699999999,Ice Thermal Storage,Thermal Storage,30,6,Operational,Electric Bill Management,Redding,CA
426,Angelo's Pizza Parlor - Ice Energy,40.5812156,-122.3909419,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Bill Management,Redding,CA
427,Kohl's Department Store - Ice Energy,40.592158000000005,-122.3543548,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Bill Management,Redding,CA
428,Tortilla Flats Restaurant - Ice Energy,40.573885,-122.373998,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Bill Management,Redding,CA
429,Skyway Recreation Products - Ice Energy,40.6263796,-122.3848097,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Bill Management,Redding,CA
430,San Francisco Residence - Ice Energy,37.7169711,-122.4054726,Ice Thermal Storage,Thermal Storage,20,6,Operational,Electric Bill Management,San Francisco,CA
431,Citizens Bank - Green Mountain Power Ice Energy Project 2,43.607989,-72.98089399999999,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Bill Management,Rutland,VT
432,St Charles City Purchasing Department - Ice Energy,41.903639299999995,-88.3014714,Ice Thermal Storage,Thermal Storage,10,6,Operational,Electric Bill Management,St Charles,IL
433,Wilson Creek Winery - Ice Energy,33.54781,-117.046058,Ice Thermal Storage,Thermal Storage,210,6,Operational,Electric Bill Management,Temecula,CA
434,Ponte Winery - Ice Energy,33.536932,-117.0507219,Ice Thermal Storage,Thermal Storage,60,6,Operational,Electric Bill Management,Temecula,CA
435,Brooklyn Army Terminal Smart Grid Demonstration Project,40.6439672,-74.02479659999999,Lead-acid Battery,Electro-chemical,100,4,Operational,Electric Bill Management with Renewables,Brooklyn,NY
436,China Lake Microgrid,35.6507888,-117.66173,Lead-acid Battery,Electro-chemical,200,4,Operational,On-Site Power,Ridgecrest,CA
437,Del Lago Academy (IES),33.0982635,-117.1037774,Lithium-ion Battery,Electro-chemical,100,2,Operational,Electric Bill Management with Renewables,Escondido,CA
438,Fort Bliss Microgrid,31.807211300000002,-106.43366929999999,Lead-acid Battery,Electro-chemical,300,0.33,Operational,Electric Bill Management,Fort Bliss,TX
439,Solar Grid Storage Hackettstown,40.85398789999999,-74.82905550000001,Lithium-ion Battery,Electro-chemical,250,0.5,Operational,Frequency Regulation,Hackettstown,NJ
440,Solar Grid Storage Denville,40.892321200000005,-74.4773775,Lithium-ion Battery,Electro-chemical,250,0.5,Operational,Frequency Regulation,Denville,NJ
441,PSU GridSTAR Microgrid Test Center,39.892615899999996,-75.172558,Lithium-ion Battery,Electro-chemical,250,0.5,Operational,Frequency Regulation,Philadelphia,PA
442,Konterra Realty HQ ESS,39.087324,-76.897812,Lithium-ion Battery,Electro-chemical,500,0.5,Operational,Frequency Regulation,Laurel,MD
443,SEPTA Recycled Energy and Optimization Project - Viridity,39.9866038,-75.1296885,Lithium-ion Battery,Electro-chemical,800,0.5,Operational,Frequency Regulation,Philadelphia,PA
444,PSE Storage Innovation Project - Primus Power,47.6134732,-122.19499669999999,Flow Battery,Electro-chemical,500,2,Operational,Electric Supply Capacity,Bellevue,WA
445,Halotechnics Advanced Molten Glass for Heat Transfer and Thermal Energy Storage,37.831315999999994,-122.2852473,Heat Thermal Storage,Thermal Storage,5,6,Operational,Renewables Capacity Firming,Emeryille,CA
446,UCSD - Maxwell Technologies Ultracapacitor Bank,32.8769207,-117.23614779999998,Electro-chemical Capacitor,Electro-chemical,28,0.8,Operational,Frequency Regulation,La Jolla,CA
447,DTE Community Energy Storage for Grid Support - Residential CES Units,41.910738,-83.427436,Lithium-ion Battery,Electro-chemical,500,2,Operational,Electric Bill Management with Renewables,Monroe,MI
448,SCE Catalina Island Energy Storage,33.3397913,-118.314218,Sodium based Battery,Electro-chemical,1000,7.2,Operational,Electric Bill Management,Avalon,CA
449,SDG&E Julian - S&C / Kokam,33.0786552,-116.60196370000001,Lithium-ion Battery,Electro-chemical,1000,2.3,Operational,Microgrid Capability,Julian,CA
450,American Vanadium Corp. MTA CellCube Installation,40.7045973,-74.01306650000001,Flow Battery,Electro-chemical,90,4.33,Operational,Grid-Connected Commercial (Reliability & Quality) ,New York,NY
451,RES Battery Utility of Ohio,40.261109000000005,-82.831654,Lithium-ion Battery,Electro-chemical,4000,0.65,Operational,Frequency Regulation,Sunbury,OH
452,SEPTA Wayside Energy Storage System - Griscom Lithium-Ion,40.01706420000001,-75.0846955,Lithium-ion Battery,Electro-chemical,900,0.5,Operational,Frequency Regulation,Philadelphia,PA
453,Stafford Hill Solar Farm & Microgrid: Lead Acid,43.619415999999994,-72.950449,Lead-acid Battery,Electro-chemical,2000,1.2,Operational,Electric Bill Management with Renewables,Rutland,VT
454,Sandia National Solar Thermal Test Facility Molten Salt Loop,34.9635,-106.5098,Molten Salt Thermal Storage,Thermal Storage,1400,n/a,Operational,Onsite Renewable Generation Shifting,Albuquerque,NM
455,Kodiak ABB PowerStore Flywheels for Microgrid Stability and Harbor Crane Operation,57.78936089999999,-152.3972311,Flywheel,Electro-mechanical,2000,n/a,Operational,Electric Supply Reserve Capacity - Spinning,Kodiak,AK
456,Fort Collins Utilities Four Cities Smart Grid Development Project - Facilities Site ,40.522734,-105.09137700000001,Ice Thermal Storage,Thermal Storage,92,6,Operational,Electric Bill Management,Fort Collins,CO
457,Fort Collins Utilities Four Cities Smart Grid Development Project - CSU Site ,40.5729396,-105.08450249999999,Ice Thermal Storage,Thermal Storage,80,6,Operational,Electric Bill Management,Fort Collins,CO
458,NREL American Vanadium CellCube Test Site,39.7408399,-105.1685277,Flow Battery,Electro-chemical,20,4,Operational,Renewables Capacity Firming,Golden,CO
459,RDT&E for Advanced Energy Storage & Management Demonstration for USAF High Energy Demand Operations and Facilities ,20.748894,-156.43995800000002,Sodium based Battery,Electro-chemical,100,2,Operational,Renewables Energy Time Shift,Kihei,HI
460,HELCO BESS - West Hawaii Civic Center,19.673715100000003,-156.0038955,Lithium-ion Battery,Electro-chemical,100,2.5,Operational,Distribution upgrade due to solar,Kailua-Kona,HI
461,CERTS Test Bed ESS,39.831846899999995,-82.92502040000001,Lithium-ion Battery,Electro-chemical,100,,Operational,On-Site Power,Grove Port,OH
462,UCI Microgrid: Thermal Storage,33.6479102,-117.84680209999999,Chilled Water Thermal Storage,Thermal Storage,6590,8,Operational,Electric Bill Management,Irvine,CA
463,Exfob (Tricon) Ft. Devens Military Container,42.5370728,-71.6174929,Lithium-ion Battery,Electro-chemical,100,0.82,Operational,Load Following (Tertiary Balancing),Devens,MA
464,Scripps Ranch Community Center BESS,32.928678999999995,-117.07970900000001,Lithium-ion Battery,Electro-chemical,100,1,Operational,Electric Bill Management with Renewables,San Diego,CA
465,"Bi-directional EV Charging Stations, LA",34.0522342,-118.24368490000002,Lithium-ion Battery,Electro-chemical,15,1,Operational,Transportation Services,Los Angeles,CA
466,JLM Energy: Alabama Solar-tied,33.5080818,-86.7877958,Lithium-ion Battery,Electro-chemical,300,1,Operational,Renewables Capacity Firming,Various,AL
467,Zerobase Ocean Vodka PV Microgrid,20.818078200000002,-156.3869061,Lithium-ion Battery,Electro-chemical,100,6,Operational,Electric Supply Reserve Capacity - Non-Spinning,Kula,HI
468,TimberRock De-MAP Test,39.0839973,-77.1527578,Lithium-ion Battery,Electro-chemical,10,1,Operational,Grid-Connected Commercial (Reliability & Quality) ,Rockville,MD
469,GM E-Motor Charging Station & Microgrid,39.3794196,-76.45990429999999,Lithium-ion Battery,Electro-chemical,30,1,Operational,Frequency Regulation,White Marsh,MD
470,"SDGE Pala SES, GRC ES Program Unit 1",33.3930888,-117.06763980000001,Lithium-ion Battery,Electro-chemical,500,3,Operational,Grid-Connected Commercial (Reliability & Quality) ,Pala,CA
471,"SDGE Skills CES, GRC ES Program Unit 2",32.7742488,-117.14118149999999,Lithium-ion Battery,Electro-chemical,25,2,Operational,Grid-Connected Commercial (Reliability & Quality) ,San Diego,CA
472,"SDGE Clairmont CES, GRC ES Program Unit 3",32.825642699999996,-117.15588670000001,Lithium-ion Battery,Electro-chemical,25,2,Operational,Grid-Connected Commercial (Reliability & Quality) ,San Diego,CA
473,"SDGE Poway CES, GRC ES Program Unit 4",32.9628232,-117.0358646,Lithium-ion Battery,Electro-chemical,25,2,Operational,Grid-Connected Commercial (Reliability & Quality) ,Poway,CA
474,"SDGE Borrego SES, GRC ES Program Unit 5",33.2582082,-116.3243793,Lithium-ion Battery,Electro-chemical,1000,3,Operational,Grid-Connected Commercial (Reliability & Quality) ,Borrego Springs,CA
475,SDG&E Carmel Valley - Saft / ABB,32.9436607,-117.20881670000001,Lithium-ion Battery,Electro-chemical,1000,3,Operational,Grid-Connected Commercial (Reliability & Quality) ,San Diego,CA
476,Aquion AHI at Redwood Gate Ranch,38.44971339999999,-123.1151969,Sodium based Battery,Electro-chemical,15,4,Operational,On-Site Power,Jenner,CA
477,SMUD Galt Advanced Feeder Demo ESS,38.2546373,-121.29994850000001,Lithium-ion Battery,Electro-chemical,500,0.25,Operational,Onsite Renewable Generation Shifting,Galt,CA
478,KIUC Anahola Solar Array and Battery,22.145277800000002,-159.31555559999998,Lithium-ion Battery,Electro-chemical,6000,0.83,Operational,Onsite Renewable Generation Shifting,Anahola,HI
479,South Coast Air Quality Management District - CODA BESS 3,34.141845,-117.99976799999999,Lithium-ion Battery,Electro-chemical,510,2,Operational,Electric Bill Management with Renewables,Monrovia,CA
480,Geli EOS enabled CODA Core System (City of Benicia City Hall),38.0525089,-122.15342350000002,Lithium-ion Battery,Electro-chemical,20,2,Operational,Electric Bill Management with Renewables,Benicia,CA
481,SNOPUD MESA 1b Project,47.936062,-122.2476602,Lithium-ion Battery,Electro-chemical,1000,0.5,Operational,Electric Energy Time Shift,Everett,WA
482,South Coast Air Quality Management District - CODA BESS 1+2,34.141763,-118.00051699999999,Lithium-ion Battery,Electro-chemical,1000,0.5,Operational,Frequency Regulation,Monrovia,CA
483,CODA Energy - CORE 40/30,34.141763,-118.00051699999999,Lithium-ion Battery,Electro-chemical,30,1.33,Operational,Electric Bill Management,Monrovia,CA
484,Peralta College Green Charge Networks GreenStation,37.7924765,-122.25898190000001,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Oakland,CA
485,Laney College Green Charge Networks GreenStation,37.7949249,-122.263102,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Oakland,CA
486,Merritt College Green Charge Networks GreenStation,37.7906143,-122.1661517,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Oakland,CA
487,Butte College Green Charge Networks GreenStation,39.715101399999995,-121.79533670000001,Lithium-ion Battery,Electro-chemical,30,1,Operational,Electric Bill Management,Chico,CA
488,Rose City Lights,40.744365,-73.957176,Lead-acid Battery,Electro-chemical,225,4,Operational,Electric Bill Management,Long Island City,NY
489,EnerDel Mobile Hybrid Power System,40.14969620000001,-88.2729819,Lithium-ion Battery,Electro-chemical,15,5.33,Operational,On-Site Power,Champaign,IL
490,ATK Launch Systems Microgrid EaglePicher BESS,41.659209999999995,-112.439866,Lead-acid Battery,Electro-chemical,300,4,Operational,Electric Energy Time Shift,Promontory ,UT
491,Erigo/US NORTHCOM BESS project,39.755542999999996,-105.2210997,Lead-acid Battery,Electro-chemical,300,1.28,Operational,Electric Energy Time Shift,Golden,CO
